sample_date,flow-sample,strain,time-hrs,replicate
11/24/2015,Jan_112415_R1_0,Janthinobacterium,0,R1
11/24/2015,Jan_112415_R1_6,Janthinobacterium,6,R1
11/24/2015,Jan_112415_R1_12,Janthinobacterium,12,R1
11/24/2015,Jan_112415_R1_18,Janthinobacterium,18,R1
11/24/2015,Jan_112415_R1_24,Janthinobacterium,24,R1
11/24/2015,Jan_112415_R1_48,Janthinobacterium,48,R1
11/24/2015,Jan_112415_R1_72,Janthinobacterium,72,R1
11/24/2015,Jan_112415_R1_96,Janthinobacterium,96,R1
11/24/2015,Jan_112415_R1_120,Janthinobacterium,120,R1
11/24/2015,Jan_112415_R1_144,Janthinobacterium,144,R1
11/24/2015,Jan_112415_R1_168,Janthinobacterium,168,R1
11/24/2015,Jan_112415_R2_0,Janthinobacterium,0,R2
11/24/2015,Jan_112415_R2_6,Janthinobacterium,6,R2
11/24/2015,Jan_112415_R2_12,Janthinobacterium,12,R2
11/24/2015,Jan_112415_R2_18,Janthinobacterium,18,R2
11/24/2015,Jan_112415_R2_24,Janthinobacterium,24,R2
11/24/2015,Jan_112415_R2_48,Janthinobacterium,48,R2
11/24/2015,Jan_112415_R2_72,Janthinobacterium,72,R2
11/24/2015,Jan_112415_R2_96,Janthinobacterium,96,R2
11/24/2015,Jan_112415_R2_120,Janthinobacterium,120,R2
11/24/2015,Jan_112415_R2_144,Janthinobacterium,144,R2
11/24/2015,Jan_112415_R2_168,Janthinobacterium,168,R2
11/24/2015,Jan_112415_R3_0,Janthinobacterium,0,R3
11/24/2015,Jan_112415_R3_6,Janthinobacterium,6,R3
11/24/2015,Jan_112415_R3_12,Janthinobacterium,12,R3
11/24/2015,Jan_112415_R3_18,Janthinobacterium,18,R3
11/24/2015,Jan_112415_R3_24,Janthinobacterium,24,R3
11/24/2015,Jan_112415_R3_48,Janthinobacterium,48,R3
11/24/2015,Jan_112415_R3_72,Janthinobacterium,72,R3
11/24/2015,Jan_112415_R3_96,Janthinobacterium,96,R3
11/24/2015,Jan_112415_R3_120,Janthinobacterium,120,R3
11/24/2015,Jan_112415_R3_144,Janthinobacterium,144,R3
11/24/2015,Jan_112415_R3_168,Janthinobacterium,168,R3
11/24/2015,Jan_112415_Unlabeled,Janthinobacterium,,NA
11/24/2015,Jan_112415_Unlabeled_001,Janthinobacterium,,NA
11/24/2015,Jan_112415_FVD_eFluor660,Janthinobacterium,,NA
11/24/2015,Jan_112415_Hoechst,Janthinobacterium,,NA
11/24/2015,Jan_112415_PY,Janthinobacterium,,NA
